month_num,crime_count,temperature,humidity,dewPoint,pressure,month_name
1,10870,54.09182795698925,0.5083198924731183,33.70907930107527,1018.7519489247311,Jan
2,9787,54.38573830409357,0.471483918128655,31.620387426900585,1016.6606725146199,Feb
3,10510,62.95495967741935,0.43371639784946237,37.26712365591398,1014.9672715053764,Mar
4,10619,72.77235416666667,0.2751388888888889,33.74678472222222,1011.5045833333334,Apr
5,10944,77.87113944223107,0.2416175298804781,35.16091633466135,1009.3245418326694,May
6,10803,89.57897222222222,0.15801388888888887,35.02177777777778,1008.8126388888888,Jun
7,10847,94.8002172437203,0.2758452138492872,52.02140434192673,1009.7875,Jul
8,11171,93.67183591123066,0.31122394082044386,55.79142568930733,1009.2508417508418,Aug
9,10612,88.33238525730181,0.32626564673157166,51.92254520166898,1008.8994436717662,Sep
10,11159,72.95223790322581,0.3692069892473118,40.27375672043011,1011.8387768817205,Oct
11,13051,62.76507638888889,0.37496527777777783,32.68977777777778,1015.2584722222222,Nov
12,10988,53.74643145161291,0.527883064516129,34.54077956989247,1017.8340725806452,Dec
